"Date","Price","Open","High","Low","Vol.","Change %"
"29-05-2026","312.06","311.77","315.00","309.53","70.03M","-0.14%"
"28-05-2026","312.51","310.68","312.80","309.57","48.22M","0.53%"
"27-05-2026","310.85","308.33","313.26","308.30","50.43M","0.82%"
"26-05-2026","308.33","309.56","311.82","307.67","48.00M","-0.16%"
"22-05-2026","308.82","306.12","311.40","305.84","43.67M","1.26%"
"21-05-2026","304.99","301.05","305.54","300.40","42.97M","0.91%"
"20-05-2026","302.25","298.18","302.80","298.08","38.23M","1.10%"
"19-05-2026","298.97","296.97","300.51","296.35","42.24M","0.38%"
"18-05-2026","297.84","300.24","300.66","294.91","34.48M","-0.80%"
"15-05-2026","300.23","297.90","303.20","296.52","54.86M","0.68%"
"14-05-2026","298.21","299.82","300.45","295.38","35.32M","-0.22%"
"13-05-2026","298.87","293.50","300.92","293.50","52.68M","1.38%"
"12-05-2026","294.80","292.56","295.27","292.56","45.75M","0.72%"
"11-05-2026","292.68","291.98","293.88","290.23","42.25M","-0.22%"
"08-05-2026","293.32","290.01","294.76","290.00","52.69M","2.05%"
"07-05-2026","287.44","289.27","292.13","285.78","45.22M","-0.02%"
"06-05-2026","287.51","281.92","288.03","281.07","58.34M","1.17%"
"05-05-2026","284.18","276.92","284.57","276.50","49.31M","2.66%"
"04-05-2026","276.83","279.65","280.63","274.86","46.67M","-1.18%"
"01-05-2026","280.14","278.86","287.22","278.37","79.92M","3.24%"
"30-04-2026","271.35","270.50","276.00","268.14","91.85M","0.44%"
"29-04-2026","270.17","267.55","271.04","267.04","30.05M","-0.20%"
"28-04-2026","270.71","272.33","273.23","268.66","40.02M","1.16%"
"27-04-2026","267.61","266.09","268.36","265.07","41.47M","-1.27%"
"24-04-2026","271.06","272.76","273.06","269.65","38.16M","-0.87%"
"23-04-2026","273.43","275.05","275.77","271.65","33.40M","0.10%"
"22-04-2026","273.17","267.82","273.74","266.87","43.25M","2.63%"
"21-04-2026","266.17","271.50","272.80","265.40","50.21M","-2.52%"
"20-04-2026","273.05","270.33","274.27","270.29","36.59M","1.04%"
"17-04-2026","270.23","266.96","272.30","266.72","61.44M","2.59%"
"16-04-2026","263.40","266.80","267.16","261.27","43.32M","-1.14%"
"15-04-2026","266.43","258.16","266.56","257.81","49.91M","2.94%"
"14-04-2026","258.83","259.24","261.93","257.19","48.37M","-0.14%"
"13-04-2026","259.20","259.73","260.18","256.66","36.23M","-0.49%"
"10-04-2026","260.48","259.98","262.19","259.02","31.29M","0.00%"
"09-04-2026","260.49","259.00","261.12","256.07","28.12M","0.61%"
"08-04-2026","258.90","258.45","259.75","256.53","41.03M","2.13%"
"07-04-2026","253.50","256.15","256.20","245.70","62.15M","-2.07%"
"06-04-2026","258.86","256.51","262.16","256.46","29.33M","1.15%"
"02-04-2026","255.92","254.20","256.13","250.65","31.29M","0.11%"
"01-04-2026","255.63","254.08","256.18","253.33","40.06M","0.73%"
"31-03-2026","253.79","247.91","255.48","247.10","49.60M","2.90%"
"30-03-2026","246.63","250.07","250.87","245.51","39.45M","-0.87%"
"27-03-2026","248.80","253.90","255.49","248.07","47.90M","-1.62%"
"26-03-2026","252.89","252.12","257.00","250.77","41.80M","0.11%"
"25-03-2026","252.62","254.10","255.00","251.60","28.48M","0.39%"
"24-03-2026","251.64","250.35","254.82","249.55","45.15M","0.06%"
